length_inc,width_inc,height_inc,weight_kg,Expiry Date,Material Properties,Storage Requirements,Volume,volume_cm3,density
32.8,18.33,189.52,18.51,,Cotton,Cool & Dry Place,113943.97248,113943.97248,0.0001624482594131863
51.48,27.39,165.07,11.82,,Rubber,Cool & Dry Place,232754.840604,232754.840604,5.078304695759298e-05
91.83,67.2,23.79,12.45,2025-07-31,Paper,Away from Sunlight,146807.51904,146807.51904,8.48049206294931e-05
80.33,92.0,30.1,3.46,2026-09-15,Wood,Dry Place,222449.836,222449.836,1.555406855863e-05
69.77,71.49,137.57,24.48,,Cotton,Dry Place,686179.5287609999,686179.5287609999,3.567579470667438e-05
88.23,80.87,92.95,16.68,,Wood,Cool & Dry Place,663213.1312950001,663213.1312950001,2.5150286104001555e-05
42.16,31.2,162.86,30.32,2026-09-01,Silk,Freeze,214224.74112,214224.74112,0.00014153360550925333
34.63,15.52,173.22,15.66,2027-02-26,Rubber,Cool & Dry Place,93098.405472,93098.40547200001,0.00016820911078557464
29.51,46.65,161.17,9.69,,Ceramic,Refrigerated,221873.310555,221873.31055499997,4.367357198466624e-05
37.04,28.0,6.11,23.87,,Plastic,Room Temperature,6336.803199999999,6336.803199999999,0.0037668835920294957
36.31,54.45,116.3,41.9,2026-01-26,Paper,Cool & Dry Place,229934.34585,229934.34585,0.00018222592995016884
20.13,87.95,192.17,24.03,2026-02-18,Paper,Freeze,340224.20569499995,340224.20569499995,7.062989522133566e-05
32.09,17.11,124.78,27.47,,Silk,Away from Sunlight,68511.69432200001,68511.69432200001,0.00040095344702603593
70.07,45.34,171.7,36.76,2027-01-14,Paper,Away from Sunlight,545486.40146,545486.40146,6.738939761213383e-05
89.35,42.23,136.49,42.34,,Cotton,Room Temperature,515010.960745,515010.960745,8.221184251836539e-05
62.73,46.47,82.39,0.14,,Metal,Room Temperature,240172.048809,240172.048809,5.829154587065911e-07
21.7,8.14,87.27,47.33,2026-12-13,Plastic,Cool & Dry Place,15415.19826,15415.19826,0.0030703464984173355
15.31,61.76,26.68,4.0,2026-02-21,Metal,Room Temperature,25227.156608,25227.156608,0.00015855928839524964
34.56,43.13,7.37,14.37,,Ceramic,Room Temperature,10985.521536000002,10985.521536000002,0.0013080853697213122
30.43,16.16,121.09,24.31,,Cotton,Dry Place,59545.862192,59545.862192,0.0004082567470702616
10.49,15.07,13.43,18.32,,Cotton,Dry Place,2123.072149,2123.072149,0.008629004910939557
65.7,42.47,130.02,44.98,2025-08-25,Rubber,Refrigerated,362792.07558,362792.07558,0.0001239828624373615
25.92,79.36,42.97,25.56,,Wood,Room Temperature,88389.771264,88389.771264,0.0002891737316941135
14.12,95.01,140.35,2.7,,Leather,Cool & Dry Place,188285.30742,188285.30741999997,1.4339939940067792e-05
11.23,56.25,56.3,28.7,2026-11-29,Rubber,Room Temperature,35564.00625,35564.00625,0.0008069956966673292
14.39,12.17,29.61,18.54,2026-12-01,Glass,Away from Sunlight,5185.489743,5185.489743,0.00357536142560643
88.93,58.49,79.93,44.72,,Cotton,Cool & Dry Place,415757.1499010001,415757.1499010001,0.00010756279239130032
15.09,50.35,117.09,24.38,,Glass,Dry Place,88962.81583500002,88962.81583500002,0.0002740470810323469
18.54,68.47,138.86,44.52,,Paper,Dry Place,176273.57746800003,176273.57746800003,0.0002525619587432608
61.68,83.56,147.7,37.14,,Cotton,Refrigerated,761242.96416,761242.96416,4.878862826795706e-05
53.81,18.36,190.58,6.62,,Metal,Room Temperature,188283.815928,188283.815928,3.515968681307956e-05
33.87,99.17,99.73,23.2,2025-11-28,Wood,Room Temperature,334981.890267,334981.890267,6.925747532652661e-05
45.92,66.03,150.4,39.72,,Metal,Dry Place,456027.47904,456027.47904,8.710001441934159e-05
44.78,77.67,65.16,5.52,,Rubber,Away from Sunlight,226630.559016,226630.559016,2.4356821180546487e-05
6.29,76.27,173.88,38.25,2025-09-16,Wood,Freeze,83416.89560399999,83416.89560399999,0.0004585402000762762
70.13,34.32,37.43,7.29,,Metal,Dry Place,90088.82968799998,90088.82968799998,8.092013211013044e-05
23.31,90.18,33.21,6.76,,Plastic,Cool & Dry Place,69810.60151800001,69810.60151800001,9.683343006659235e-05
75.0,85.78,133.97,11.58,,Wood,Freeze,861895.995,861895.995,1.3435495775798332e-05
78.77,11.97,36.28,46.89,2026-06-14,Plastic,Room Temperature,34207.573932,34207.573932,0.0013707490654909038
72.85,32.55,195.15,22.27,2026-06-19,Leather,Dry Place,462752.8526249999,462752.8526249999,4.812504098823329e-05
14.61,85.16,84.37,30.58,,Rubber,Dry Place,104972.107812,104972.107812,0.00029131548024897535
28.81,67.15,87.7,40.51,2026-03-28,Cotton,Away from Sunlight,169663.67455,169663.67455,0.00023876648968876172
60.21,74.49,168.59,8.16,2025-06-24,Rubber,Room Temperature,756133.3825109999,756133.3825109999,1.0791746785338223e-05
72.88,27.86,70.95,14.65,,Cotton,Room Temperature,144059.49096,144059.49096,0.00010169409805888988
52.33,92.84,61.36,4.71,,Rubber,Away from Sunlight,298106.343392,298106.343392,1.579973088263508e-05
86.2,28.77,111.14,19.5,,Wood,Away from Sunlight,275624.31036,275624.31036,7.074847633915364e-05
99.68,79.25,180.79,30.01,2027-01-31,Wood,Refrigerated,1428175.9156,1428175.9156,2.1012817589345995e-05
76.76,85.58,69.9,14.54,2026-07-02,Rubber,Room Temperature,459181.5439200001,459181.5439200001,3.166503574136072e-05
56.1,94.67,69.05,7.6,2026-11-08,Cotton,Room Temperature,366723.65235,366723.65235,2.0724051888386468e-05
51.03,75.41,51.54,39.25,2025-10-18,Glass,Dry Place,198334.800342,198334.80034199997,0.0001978976958774708
63.77,96.22,176.33,48.71,2026-07-02,Cotton,Away from Sunlight,1081951.9577020002,1081951.9577020002,4.5020483260141295e-05
82.97,62.1,132.93,15.19,2026-06-29,Glass,Refrigerated,684913.45041,684913.45041,2.217798466493398e-05
66.97,77.11,82.13,48.6,2025-08-29,Paper,Dry Place,424123.976771,424123.97677099996,0.00011458913587014892
35.0,72.5,91.12,45.36,2026-05-27,Ceramic,Room Temperature,231217.0,231217.0,0.00019617934667433623
38.39,32.95,64.22,15.86,,Wood,Away from Sunlight,81235.12111000001,81235.12111000001,0.00019523575250813088
15.64,11.45,66.93,28.29,,Silk,Refrigerated,11985.69054,11985.690540000001,0.0023603145689092683
57.82,99.92,148.46,8.13,,Plastic,Dry Place,857709.003424,857709.003424,9.478739254857763e-06
10.97,98.2,151.97,9.7,,Silk,Refrigerated,163710.29038000002,163710.29038000002,5.925100967987177e-05
88.21,7.24,8.52,1.02,,Rubber,Dry Place,5441.216208,5441.216208,0.00018745809043579914
56.5,23.89,83.62,33.96,2025-11-01,Metal,Refrigerated,112869.0217,112869.02170000001,0.00030087972313841714
21.56,87.83,68.39,16.76,,Wood,Freeze,129504.316172,129504.31617199999,0.00012941653603066293
85.44,57.92,106.47,48.17,,Ceramic,Away from Sunlight,526886.470656,526886.470656,9.142386962418288e-05
37.61,69.34,70.76,43.02,,Plastic,Refrigerated,184533.40482400003,184533.40482400003,0.000233128522399674
56.47,22.59,42.11,35.03,2026-03-22,Wood,Room Temperature,53717.928903,53717.928903,0.0006521100257467982
8.99,28.3,196.71,16.05,,Cotton,Cool & Dry Place,50046.36807,50046.368070000004,0.00032070259279456237
94.73,27.42,184.92,30.95,,Leather,Freeze,480329.071272,480329.07127200003,6.443499228151794e-05
55.86,75.55,93.02,42.15,,Cotton,Dry Place,392565.14346,392565.14346,0.00010737071465005101
6.61,88.33,108.36,28.66,,Rubber,Dry Place,63267.210468000005,63267.210468000005,0.00045299926751940446
30.62,54.78,52.19,43.82,2026-08-22,Silk,Dry Place,87541.60628400001,87541.60628400001,0.0005005619825827778
83.35,7.49,121.56,33.92,,Plastic,Dry Place,75888.87474,75888.87474,0.0004469693366282216
50.33,57.73,69.32,36.16,2025-08-25,Wood,Cool & Dry Place,201412.788388,201412.78838799996,0.00017953179780392926
31.21,62.64,159.59,15.61,,Rubber,Away from Sunlight,311997.556296,311997.556296,5.0032443155389316e-05
73.25,8.06,124.39,35.36,2026-12-27,Metal,Refrigerated,73439.23405,73439.23405,0.00048148650319426907
60.08,59.08,194.3,39.56,2025-09-09,Wood,Dry Place,689672.9795199999,689672.9795199999,5.7360518933963535e-05
19.45,67.03,43.42,10.7,2025-06-02,Wood,Freeze,56608.10857,56608.108570000004,0.0001890188573739163
64.82,25.39,32.29,33.42,2025-08-22,Glass,Refrigerated,53142.22974199999,53142.22974199999,0.0006288783922362805
26.5,29.81,55.68,13.31,,Metal,Refrigerated,43985.2512,43985.2512,0.0003026014320000064
89.43,57.83,80.9,16.7,2026-10-26,Ceramic,Room Temperature,418393.51521,418393.51521000004,3.991457657181407e-05
54.92,23.6,57.37,3.53,,Wood,Freeze,74357.94544,74357.94544,4.747307068682235e-05
14.31,7.5,77.43,38.6,,Ceramic,Cool & Dry Place,8310.17475,8310.17475,0.004644908339623063
48.25,42.23,85.6,24.46,,Cotton,Away from Sunlight,174418.346,174418.346,0.00014023754129625793
16.34,62.29,6.81,8.21,,Paper,Dry Place,6931.344665999999,6931.344665999999,0.0011844743546331105
67.79,20.66,130.03,16.67,,Wood,Dry Place,182112.398242,182112.39824200002,9.153687591246849e-05
54.6,71.01,5.13,40.24,,Metal,Cool & Dry Place,19889.75898,19889.758980000002,0.002023151715436222
24.89,5.99,78.15,2.12,,Silk,Away from Sunlight,11651.469465000002,11651.469465000002,0.0001819512986210276
51.44,6.27,56.96,14.8,,Rubber,Freeze,18371.240448,18371.240448,0.000805607005247771
14.8,59.35,52.6,1.83,,Metal,Refrigerated,46202.78800000001,46202.78800000001,3.960799941336873e-05
76.71,61.71,21.39,48.76,2026-08-30,Leather,Refrigerated,101255.427999,101255.42799899999,0.00048155443084474994
79.96,36.02,20.71,38.05,2025-05-25,Rubber,Dry Place,59648.097032000005,59648.097032000005,0.0006379080288108259
44.32,16.16,66.92,2.77,2025-12-26,Rubber,Room Temperature,47928.853504,47928.853504,5.7793996674024847e-05
78.93,59.59,76.94,26.41,2025-07-13,Paper,Away from Sunlight,361882.573578,361882.573578,7.297947436064533e-05
81.78,94.3,38.4,38.82,2025-11-30,Rubber,Refrigerated,296135.1936,296135.1936,0.00013108877579891943
43.16,75.31,174.12,34.92,,Plastic,Cool & Dry Place,565956.095952,565956.095952,6.170089915059709e-05
55.3,71.59,152.43,12.76,2025-10-04,Silk,Room Temperature,603459.2426100001,603459.2426100001,2.114475858354937e-05
79.83,80.53,74.47,6.36,2026-01-08,Ceramic,Cool & Dry Place,478746.026253,478746.02625299996,1.3284705566702647e-05
